staker,lp,stt,ste,faction
terra1llcj7...4s6c,31,0,38.75,degens
terra1llywm...jrnz,4673.950439,0,5842.43804875,degens
terra1l775z...wl96,211.202157,0,264.00269625,degens
terra1l7njp...xz58,86.194119,0,107.74264875,degens
terra1l7qjn...c657,27.687238,0,34.6090475,degens
terra1la6mk...32s5,7.878601,0,9.84825125,degens
terra1la4zs...0tu7,0.201008,0,0.25126,degens
terra1lajac...exgg,221.458309,0,276.82288625,degens
terra1lagrs...8kqm,2.023545,0,2.52943125,degens
terra1lagq9...a72g,200.202592,0,250.25324,degens
terra1larta...z9g7,175.930729,0,219.91341125000002,degens
terra1lu600...ppfn,27.758081,0,34.69760125,degens
terra1lu6tn...6ufp,2.099612,0,2.624515,degens
terra1lugl7...2usz,0.222819,0,0.27852374999999996,degens
terra1lugal...6h2d,8.343663,0,10.42957875,degens
terra1lu80s...s6en,2.048014,0,2.5600175,degens
terra1luznx...w8nx,0.765894,0,0.9573674999999999,degens
terra1lm08u...astq,12.582413,0,15.728016250000001,degens
terra1l67c4...p6x8,1.003686,0,1.2546075,degens
terra1l6kfe...xgtz,0.955562,0,1.1944525000000001,degens
terra1l63cn...75x8,0.180335,0,0.22541875,degens
terra1l6yz6...8tlz,0.502853,0,0.62856625,degens
terra1levjx...zkz5,3.47136,0,4.3392,degens
terra1lcd95...njf4,24.132333,0,30.16541625,degens
terra1lhms7...lr8e,2588.869973,0,3236.08746625,degens
terra1lkcuc...5ery,0.041326,0,0.0516575,degens
terra1l47sz...clsv,1685.119719,0,2106.39964875,degens
terra1l5m32...cs5h,206.955072,0,258.69384,degens
terra1l5nl4...49zl,78.381531,0,97.97691375,degens
terra1l5jtr...lx9y,1666.931713,0,2083.66464125,degens
terra1l53yp...x3n2,2.21682,0,2.771025,degens
terra1l580w...63w4,0.216057,0,0.27007125,degens
terra1lnsec...emt7,1.900751,0,2.37593875,degens
terra1lntdy...qac7,0.381924,0,0.47740499999999997,degens
terra1lnt22...p6ty,19.291298,0,24.1141225,degens
terra1ljh4f...kqlq,8.488735,0,10.61091875,degens
terra1ljnt7...m0wn,283.104439,0,353.88054875,degens
terra1lj9zk...gheq,59.089763,0,73.86220374999999,degens
terra1l3c9y...k3lv,0.415058,0,0.5188225,degens
terra1l35cj...f6w0,22.687896,0,28.359869999999997,degens
terra1l3nfv...ky45,167,0,208.75,degens
terra1l3d8r...kr62,0.041632,0,0.05204,degens
terra1l3vhl...s09a,17.477131,0,21.84641375,degens
terra1l3t9m...2490,2.14081,0,2.6760125,degens
terra1l328j...8xyd,5.890976,0,7.363720000000001,degens
terra1l3g65...48yy,13.163934,0,16.4549175,degens
terra1l38t5...5n6l,1216.817807,0,1521.0222587499998,degens
terra1l3x2u...xlmf,2.262768,0,2.8284599999999998,degens
terra1ls7sw...al76,393.00377,0,491.2547125,degens
terra1lsclu...lq0y,11.322419,0,14.15302375,degens
terra1lsntc...xhlg,106.465329,0,133.08166125,degens
terra1lsw0x...vx56,2.511719,0,3.1396487499999997,degens
terra1l0l5e...gjjk,0.045603,0,0.05700375,degens
terra1l040c...9lfk,143.548497,0,179.43562125,degens
terra1l03fl...p5ku,1454.597219,0,1818.24652375,degens
terra1lwwfn...mx96,2405.273534,0,3006.5919175,degens
terra1lwped...4jxw,0.041298,0,0.0516225,degens
terra1ld3nk...cy9t,232.31871,0,290.3983875,degens
terra1lvuq5...j26t,341.883437,0,427.35429625,degens
terra1lv3pt...ddsa,147.368677,0,184.21084624999997,degens
terra1lvwf7...9qxl,0.437202,0,0.5465025,degens
terra1lvdjq...4l9f,27.483209,0,34.35401125,degens
terra1lv8kj...enxx,1.906799,0,2.3834987499999998,degens
terra1ltu28...cnj8,0.207109,0,0.25888625,degens
terra1ltmd4...nuy4,1.243488,0,1.55436,degens
terra1lts9s...lxh5,1.901682,0,2.3771025000000003,degens
terra1lt0gg...jtge,0.190763,0,0.23845375,degens
terra1ltw3d...znkl,37.69581,0,47.1197625,degens
terra1lt2nq...zq6d,2802.252458,0,3502.8155724999997,degens
terra1ltfhc...6y4l,0.412836,0,0.516045,degens
terra1l25zz...y8k2,25,0,31.25,degens
terra1l2ndh...7cqy,2.037392,0,2.5467400000000002,degens
terra1l2tgy...w8z7,369.102607,0,461.37825875,degens
terra1lfsnn...4njg,278.859777,0,348.57472125000004,degens
terra1lfxaj...rh07,540.900672,0,676.1258399999999,degens
terra1lfys0...zdwx,23.877537,0,29.84692125,degens
terra1lgm3q...q53z,54.109289,0,67.63661125,degens
terra1lgm00...l0u9,43.721933,0,54.65241625,degens
terra1lg5ep...tuua,25.59,0,31.9875,degens
terra1lgqq0...z95s,5.35837,0,6.6979625,degens
terra1l870s...3x6w,1.128668,0,1.410835,degens
terra1l8eq7...kwh8,15.735053,0,19.66881625,degens
terra1l8npw...y3xg,39.643203,0,49.55400375,degens
terra1l8jvm...8nnx,650.726845,0,813.4085562500001,degens
terra1lxkwx...dh63,114.125633,0,142.65704125,degens
terra1lx4th...9kn5,69.785309,0,87.23163625,degens
terra1lx8d5...t0wx,819.53,0,1024.4125,degens
terra1lxyvp...ppsf,33.525348,0,41.906685,degens
terra1lxytm...wuep,200.01397,0,250.0174625,degens
terra1ly4v7...zn7u,84.454528,0,105.56815999999999,degens
terra1ly3mx...6kr7,0.190939,0,0.23867375,degens
terra1lys8r...fld2,22.869083,0,28.58635375,degens
terra1lydvt...8x0r,0.263457,0,0.32932125,degens
terra1lrlgn...aucu,2.009179,0,2.51147375,degens
terra1lr7cf...w5yk,1.052557,0,1.31569625,degens
terra1lrh6z...rcud,249.409016,0,311.76127,degens
terra1lr2xl...maxz,0.478548,0,0.598185,degens
terra1lr9yl...cazv,2461.410908,0,3076.763635,degens
terra1lzka4...ankw,511,0,638.75,degens
terra1lz5r8...3a7y,150.548844,0,188.186055,degens
terra1lpsle...5lmg,291,0,363.75,degens
terra1lp2h4...wm6v,436.118181,0,545.14772625,degens
terra1lp2rd...76zx,0.138666,0,0.1733325,degens
terra1lpgrq...h8v4,2.721394,0,3.4017425,degens
terra1lpprq...4wx9,0.15,0,0.1875,degens
terra1lqlg3...wxec,396.635116,0,495.79389499999996,degens
terra1lqum2...d48x,34.058405,0,42.57300625,degens
terra17lkkh...8cnl,0.020235,0,0.02529375,degens
terra17lrjr...5cjh,0.459596,0,0.574495,degens
terra17lpcu...6qe0,1.115558,0,1.3944475,degens
terra1774au...qxvt,135.19,0,168.9875,degens
terra177wer...x0w3,0.870525,0,1.08815625,degens
terra1778j3...9kxw,27.466123,0,34.33265375,degens
terra177943...tasj,9.353812,0,11.692264999999999,degens
terra17aq6n...am7e,40.888642,0,51.1108025,degens
terra17aq6y...jchd,140.921081,0,176.15135124999998,degens
terra17u4y9...df7l,1.005756,0,1.257195,degens
terra17uwzu...h687,313.710696,0,392.13837,degens
terra17u9gv...kr6e,4324.423491,0,5405.52936375,degens
terra17uzra...5sly,10.662693,0,13.328366250000002,degens
terra17m7wf...rkxa,335.599986,0,419.4999825,degens
terra17mexe...g6fd,1.913641,0,2.3920512499999997,degens
terra17mczu...28a6,10,0,12.5,degens
terra17mg4q...8mvf,1684.527245,0,2105.65905625,degens
terra17m8jy...333n,5.048913,0,6.3111412499999995,degens
terra17mx82...n3cj,0.814737,0,1.01842125,degens
terra17mqzh...u4ge,0.223122,0,0.2789025,degens
terra1768k3...ahwl,0.214568,0,0.26821,degens
terra17esr7...5kxa,0.201464,0,0.25183,degens
terra17e8nu...0xx7,43.292659,0,54.115823750000004,degens
terra17eyuw...thw4,153.258026,0,191.5725325,degens
terra17epry...zduc,917.582017,0,1146.9775212499999,degens
terra17c73p...7u4f,0.82,0,1.025,degens
terra17ca7p...2uk2,142.552093,0,178.19011625000002,degens
terra17cu2s...xesd,108.15935,0,135.1991875,degens
terra17cc4m...jhpl,3.790192,0,4.73774,degens
terra17cndv...4ysz,197.678211,0,247.09776375,degens
terra17cjcm...eg3f,19.444343,0,24.30542875,degens
terra17cj0a...eqcm,7686.889198,0,9608.6114975,degens
terra17crhx...cp36,1880.186999,0,2350.23374875,degens
terra17czt5...ckfm,0.190214,0,0.2377675,degens
terra17hlp4...7njc,0.147476,0,0.18434499999999998,degens
terra17hyn2...zpht,108.292626,0,135.3657825,degens
terra17k5mh...hh4c,10.501605,0,13.127006249999999,degens
terra17ktk0...xjtw,0.503563,0,0.6294537499999999,degens
terra174csq...x97m,51.757177,0,64.69647125,degens
terra1757lq...fnxx,2033.911793,0,2542.38974125,degens
terra175esz...tjgj,0.089049,0,0.11131125,degens
terra1755ap...k3fk,1.122531,0,1.40316375,degens
terra1753jw...dpqt,1224.423229,0,1530.52903625,degens
terra175snd...8v9e,1.785587,0,2.23198375,degens
terra175d5e...k4zd,85.840027,0,107.30003375000001,degens
terra1758ar...x7t9,354.849867,0,443.56233375,degens
terra175qdp...c9ka,4.002645,0,5.0033062500000005,degens
terra17nvfa...9ylm,1.925367,0,2.40670875,degens
terra17ng79...vkum,2778.566872,0,3473.2085899999997,degens
terra17j7q3...uhvn,11582.381034,0,14477.9762925,degens
terra173lwe...s39w,42.20402,0,52.755025,degens
terra1733kg...9svg,0.292884,0,0.36610499999999996,degens
terra173dfj...7mcs,199.280131,0,249.10016375,degens
terra17390m...yaxx,132.626245,0,165.78280625000002,degens
terra17smaa...cuau,1.38255,0,1.7281875,degens
terra17skag...cwmg,153.895565,0,192.36945625,degens
terra17snxw...kgqy,1212.187203,0,1515.2340037499998,degens
terra17snrg...97lp,5.532574,0,6.9157175,degens
terra17s0m7...hrmk,170.147361,0,212.68420125,degens
terra1707cz...q5gj,0.446075,0,0.55759375,degens
terra17029f...dum3,37.527062,0,46.9088275,degens
terra1708q4...yt75,5.506321,0,6.88290125,degens
terra170xhq...7mjg,3.01225,0,3.7653125,degens
terra17w7xx...0vul,42.963774,0,53.7047175,degens
terra17wvtg...uyfw,1,0,1.25,degens
terra17wx28...yv4k,611.83832,0,764.7978999999999,degens
terra17d7qr...lne3,3.38,0,4.225,degens
terra17dac8...hk7u,1339.491447,0,1674.3643087500002,degens
terra17dusl...dgcp,2.167843,0,2.70980375,degens
terra17ds8z...gk0s,252.428129,0,315.53516125,degens
terra17vuwy...5y2q,20.105349,0,25.13168625,degens
terra17v6pp...dehh,0.198981,0,0.24872624999999998,degens
terra17vhzv...ytzq,1.834085,0,2.29260625,degens
